text,label
The experience ran for ten minutes.,neutral
I absolutely really like the terminal interface.,positive
I do not like this software.,negative
I absolutely am impressed by the interface.,positive
I regret using this software.,negative
The terminal interface is helpful.,positive
I am pleased with this tool.,positive
The design opened yesterday.,neutral
This tool opened on my computer.,neutral
This feature finished yesterday.,neutral
This software displayed a message without an error.,neutral
I absolutely am disappointed with the design.,negative
This software closed at nine o clock.,neutral
The experience is not useful.,negative
The screen shows the history tab.,neutral
I would not recommend the app.,negative
I am unhappy with this application.,negative
"You did well, your little business is alright.",positive
"Overall, this software is pleasant.",positive
This tool closed during the test.,neutral
The terminal interface is reliable.,positive
The design is frustrating.,negative
"The terminal interface was frustrating at first, but now I like it.",positive
This message has twelve words.,neutral
The system loaded at nine o clock.,neutral
I am impressed by this application.,positive
The workflow finished without an error.,neutral
This application finished after lunch.,neutral
The experience is disappointing.,negative
"Overall, this application is hard to use.",negative
I absolutely am frustrated by the service.,negative
I do not hate this program.,positive
This program ran this morning.,neutral
The update ran for ten minutes.,neutral
The product opened during the test.,neutral
I absolutely am disappointed with this software.,negative
I absolutely am disappointed with the app.,negative
This tool is frustrating.,negative
This feature started at nine o clock.,neutral
"Overall, this program is great.",positive
The system opened without an error.,neutral
"This feature looked promising, but now I hate it.",negative
I regret using the product.,negative
I regret using the system.,negative
"Overall, the experience is reliable.",positive
"I expected the terminal interface to be bad, but it is actually good.",positive
I absolutely enjoy this program.,positive
"Overall, the app is awful.",negative
"Overall, the design is bad.",negative
The update closed without an error.,neutral
I absolutely am unhappy with the system.,negative
The design is confusing.,negative
The app started after the update.,neutral
"Overall, the product is pleasant.",positive
The terminal interface is not good.,negative
The workflow updated yesterday.,neutral
"Overall, this software is useful.",positive
I am unhappy with the update.,negative
"Overall, this feature is awful.",negative
I used the design today.,neutral
The service updated this morning.,neutral
I absolutely am disappointed with this tool.,negative
"Overall, this software is smooth.",positive
I am impressed by this tool.,positive
This program ran at nine o clock.,neutral
I really dislike this program.,negative
This software saved a file this morning.,neutral
"Overall, the product is bad.",negative
This feature connected after lunch.,neutral
This software is hard to use.,negative
The workflow loaded on my computer.,neutral
I am annoyed by the app.,negative
I absolutely am impressed by the product.,positive
The experience loaded after lunch.,neutral
"I expected the service to be bad, but it is actually good.",positive
The workflow is excellent.,positive
I absolutely am happy with the experience.,positive
"Overall, the experience is disappointing.",negative
"Overall, the service is frustrating.",negative
I love the terminal interface.,positive
I regret using the service.,negative
The app opened at nine o clock.,neutral
The update is smooth.,positive
The workflow is great.,positive
The model file is stored in the models directory.,neutral
This is technically working but still unpleasant to use.,negative
The update connected without an error.,neutral
"Overall, the update is awful.",negative
The experience is unpleasant.,negative
I would not call the service bad at all.,positive
I cannot stand the system.,negative
"Overall, this feature is confusing.",negative
The system is wonderful.,positive
The interface is poorly designed.,negative
The workflow is not useful.,negative
I really like the service.,positive
This program is pleasant.,positive
This is much better now.,positive
The update displayed a message after the update.,neutral
This application is not good.,negative
"The workflow was frustrating at first, but now I like it.",positive
The experience saved a file at nine o clock.,neutral
"Overall, this tool is disappointing.",negative
"Overall, the design is well designed.",positive
"I tried to like the terminal interface, but it is terrible.",negative
The update is not bad.,positive
This feature loaded during the test.,neutral
The system is poorly designed.,negative
This feature is poorly designed.,negative
I used this program today.,neutral
The product displayed a message yesterday.,neutral
This application is not useful.,negative
This application loaded after the update.,neutral
I absolutely feel good about the product.,positive
I am happy with the design.,positive
I absolutely really dislike this tool.,negative
I absolutely feel good about the system.,positive
The update is not good.,negative
The experience finished at nine o clock.,neutral
The service loaded yesterday.,neutral
I don't dislike the experience.,positive
I absolutely feel good about this feature.,positive
The workflow connected at nine o clock.,neutral
The terminal interface updated in the terminal.,neutral
I used the app today.,neutral
This software finished yesterday.,neutral
I am impressed by the system.,positive
This program opened during the test.,neutral
The terminal interface connected after the update.,neutral
I absolutely am frustrated by the update.,negative
I am frustrated by the app.,negative
The system saved a file this morning.,neutral
The product finished during the test.,neutral
This feature opened after the update.,neutral
I am pleasantly surprised.,positive
The update saved a file in the terminal.,neutral
The interface updated for ten minutes.,neutral
I am unhappy with the product.,negative
The update closed at nine o clock.,neutral
The app loaded after lunch.,neutral
This program finished on my computer.,neutral
I am frustrated by the system.,negative
The terminal interface is fantastic.,positive
The app displayed a message yesterday.,neutral
"I expected this feature to be bad, but it is actually good.",positive
The product is a big improvement.,positive
The app ran in the terminal.,neutral
"Overall, the product is solid.",positive
I absolutely enjoy the update.,positive
I really like this application.,positive
"Overall, this feature is annoying.",negative
The result is confusing and not useful.,negative
The update produced three output values.,neutral
The product closed after the update.,neutral
The app finished in the terminal.,neutral
The workflow is a big improvement.,positive
"Overall, this feature is reliable.",positive
This tool is version two point two.,neutral
The workflow saved a file yesterday.,neutral
This feature finished on my computer.,neutral
The system is frustrating.,negative
The design is slow.,negative
Not bad at all.,positive
The interface is smooth.,positive
The workflow updated without an error.,neutral
"Overall, this tool is solid.",positive
I recommend the experience.,positive
The app finished on my computer.,neutral
This software closed during the test.,neutral
I am annoyed by the system.,negative
The design ran at nine o clock.,neutral
"Overall, the terminal interface is confusing.",negative
I appreciate the app.,positive
The product is great.,positive
The design updated without an error.,neutral
I am unhappy with the workflow.,negative
This feature is not good.,negative
I don't dislike the product.,positive
"Overall, the terminal interface is disappointing.",negative
This feature finished after the update.,neutral
I do not like this application.,negative
I am unhappy with the design.,negative
The interface closed without an error.,neutral
The product is annoying.,negative
I feel good about the service.,positive
I absolutely cannot stand the product.,negative
The product is useful.,positive
The update started after the update.,neutral
This program updated on my computer.,neutral
The update is not terrible.,positive
This software saved a file in the terminal.,neutral
This program closed at nine o clock.,neutral
The app is pleasant.,positive
I cannot stand this software.,negative
The test for this feature finished at noon.,neutral
"This software has problems, but overall I am happy with it.",positive
I would not call this program good.,negative
I absolutely prefer this software.,positive
The test for the interface finished at noon.,neutral
I prefer the product.,positive
I do not hate the product.,positive
I don't dislike this program.,positive
"Overall, this software is fantastic.",positive
This program is worse than before.,negative
I do not like the terminal interface.,negative
I absolutely appreciate this program.,positive
"I tried to like the interface, but it is terrible.",negative
This software is not useful.,negative
The product is unpleasant.,negative
I absolutely am frustrated by this tool.,negative
I absolutely am frustrated by the app.,negative
The workflow saved a file on my computer.,neutral
I don't dislike the new interface.,positive
"Overall, the app is smooth.",positive
I am pleased with this software.,positive
This program saved a file this morning.,neutral
"Overall, this feature is frustrating.",negative
The product is unreliable.,negative
The update is pleasant.,positive
The service is fast and clean.,positive
I recommend the system.,positive
The experience is wonderful.,positive
This program updated without an error.,neutral
The service is impressive.,positive
"Overall, the interface is solid.",positive
This program is unreliable.,negative
The product is not useful.,negative
The service finished yesterday.,neutral
"Overall, the system is helpful.",positive
This software started in the terminal.,neutral
"Overall, the product is fast and clean.",positive
This program is not bad.,positive
The product opened in the terminal.,neutral
The update is awful.,negative
I absolutely am annoyed by this feature.,negative
"Overall, the workflow is wonderful.",positive
I feel good about the app.,positive
The service closed without an error.,neutral
The experience closed without an error.,neutral
This tool is broken.,negative
I absolutely do not enjoy the product.,negative
I do not like the update.,negative
"Overall, the product is easy to use.",positive
"Overall, this tool is unpleasant.",negative
The system started at nine o clock.,neutral
I absolutely prefer the product.,positive
The terminal interface is not useful.,negative
The product ran after the update.,neutral
"The product has problems, but overall I am happy with it.",positive
"Overall, this software is solid.",positive
I am frustrated by the interface.,negative
I do not like this feature.,negative
I absolutely hate this application.,negative
I absolutely regret using the terminal interface.,negative
I absolutely am annoyed by the product.,negative
"I expected the workflow to be good, but it is actually bad.",negative
This software closed for ten minutes.,neutral
"Overall, this feature is solid.",positive
The terminal interface is awful.,negative
This software is not bad.,positive
You nailed it this time.,positive
This feature updated this morning.,neutral
I used this software today.,neutral
The experience updated at nine o clock.,neutral
I absolutely am pleased with the workflow.,positive
The terminal interface contains a training page.,neutral
The app is easy to use.,positive
I absolutely prefer this program.,positive
"Overall, this software is unreliable.",negative
This tool ran for ten minutes.,neutral
The update is worse than before.,negative
This tool updated after lunch.,neutral
This tool displayed a message for ten minutes.,neutral
The service displayed a message yesterday.,neutral
"Overall, the design is disappointing.",negative
This tool is smooth.,positive
I enjoy this tool.,positive
The service ran on my computer.,neutral
"This tool looked promising, but now I hate it.",negative
"Overall, the workflow is frustrating.",negative
The interface updated after the update.,neutral
"Overall, the service is a big improvement.",positive
"Overall, the workflow is reliable.",positive
The program returned a result.,neutral
The product updated on my computer.,neutral
The documentation mentions this software.,neutral
The terminal interface is pleasant.,positive
The application is running in the terminal.,neutral
This answer missed what I was asking.,negative
"Overall, this software is excellent.",positive
That answer was clear and useful.,positive
The design loaded on my computer.,neutral
This program is well designed.,positive
"Overall, the product is slow.",negative
This feature updated for ten minutes.,neutral
The service is not bad.,positive
I absolutely am frustrated by this program.,negative
The product finished in the terminal.,neutral
The experience is worse than I expected.,negative
The update is broken.,negative
I appreciate this software.,positive
"Overall, this application is frustrating.",negative
The app is broken.,negative
The app finished after lunch.,neutral
The update was installed yesterday.,neutral
I do not like the system.,negative
I absolutely love this tool.,positive
The terminal interface started on my computer.,neutral
I am disappointed with the update.,negative
"Overall, this program is terrible.",negative
You should speak more like a human instead of a robot.,negative
The system is a mess.,negative
This program is confusing.,negative
The update started for ten minutes.,neutral
The update displayed a message without an error.,neutral
The terminal interface is hard to use.,negative
This program opened in the terminal.,neutral
I don't enjoy this application.,negative
The system started during the test.,neutral
This application displayed a message for ten minutes.,neutral
"I expected the update to be good, but it is actually bad.",negative
The terminal interface is useful.,positive
I do not like the product.,negative
This feature is smooth.,positive
The update loaded yesterday.,neutral
The update saved a file this morning.,neutral
The workflow is smooth.,positive
"Overall, the workflow is pleasant.",positive
I would not recommend the update.,negative
I can work with this; it is pretty good.,positive
This program closed this morning.,neutral
This tool updated at nine o clock.,neutral
This program started at nine o clock.,neutral
The update is fast and clean.,positive
"I tried to like the update, but it is terrible.",negative
The terminal interface has a menu and several buttons.,neutral
The service displayed a message for ten minutes.,neutral
This program started after lunch.,neutral
This software updated on my computer.,neutral
"Overall, the experience is unpleasant.",negative
This software is a mess.,negative
I absolutely am happy with the terminal interface.,positive
I absolutely am pleased with this tool.,positive
"Overall, the update is broken.",negative
The workflow is hard to use.,negative
The workflow is helpful.,positive
I absolutely am disappointed with the workflow.,negative
This software displayed a message at nine o clock.,neutral
"Overall, the experience is great.",positive
I absolutely am annoyed by the workflow.,negative
This feature is wonderful.,positive
The app loaded after the update.,neutral
The product updated yesterday.,neutral
I absolutely regret using the interface.,negative
The terminal interface is fast and clean.,positive
The system is slow.,negative
This tool connected after the update.,neutral
This software is useful.,positive
The product closed for ten minutes.,neutral
The app opened this morning.,neutral
"I almost gave up on the workflow, but it turned out great.",positive
"Overall, this software is well designed.",positive
"Overall, the system is disappointing.",negative
"Overall, the experience is hard to use.",negative
This application is solid.,positive
I recommend this application.,positive
"Overall, this tool is fantastic.",positive
The business opened at nine.,neutral
This feature closed this morning.,neutral
I am happy with the experience.,positive
The experience is impressive.,positive
"This feature has a few nice ideas, but overall it is frustrating.",negative
The design is terrible.,negative
I recommend this program.,positive
I hate the service.,negative
"It works, but I still dislike it.",negative
I absolutely prefer the system.,positive
I do not enjoy this feature.,negative
This tool is fast and clean.,positive
The update ran at nine o clock.,neutral
"The design has a few nice ideas, but overall it is frustrating.",negative
I absolutely enjoy the workflow.,positive
I really like this tool.,positive
I absolutely love the app.,positive
"Overall, the experience is bad.",negative
"I expected this program to be bad, but it is actually good.",positive
The experience is fantastic.,positive
"Overall, the interface is smooth.",positive
The design is unreliable.,negative
The update loaded after the update.,neutral
This feature updated at nine o clock.,neutral
This program closed for ten minutes.,neutral
I absolutely cannot stand the experience.,negative
This software is worse than I expected.,negative
The workflow is unreliable.,negative
The app opened yesterday.,neutral
The update displayed a message at nine o clock.,neutral
I really dislike this application.,negative
I am annoyed by the experience.,negative
This program is not good.,negative
I absolutely enjoy this feature.,positive
"Overall, the interface is great.",positive
The workflow is annoying.,negative
The workflow connected after the update.,neutral
I hate the design.,negative
This software is great.,positive
"I expected the experience to be bad, but it is actually good.",positive
This software is well designed.,positive
I absolutely am happy with the system.,positive
This feature is bad.,negative
The terminal interface connected at nine o clock.,neutral
The terminal interface loaded after the update.,neutral
I absolutely hate this tool.,negative
I absolutely am impressed by the service.,positive
I absolutely am disappointed with the product.,negative
"The terminal interface has problems, but overall I am happy with it.",positive
The response contained three paragraphs.,neutral
This program connected after lunch.,neutral
I absolutely am unhappy with the app.,negative
I appreciate the terminal interface.,positive
The design updated at nine o clock.,neutral
The terminal interface finished on my computer.,neutral
"I almost gave up on the update, but it turned out great.",positive
The product is easy to use.,positive
The system displayed a message during the test.,neutral
I regret using the design.,negative
I absolutely really like the experience.,positive
"Overall, the update is fantastic.",positive
I would not call this tool bad at all.,positive
This application loaded during the test.,neutral
I absolutely feel good about the app.,positive
The app saved a file in the terminal.,neutral
I don't enjoy the workflow.,negative
I recommend the service.,positive
This program is disappointing.,negative
The design is wonderful.,positive
I absolutely feel good about this tool.,positive
I absolutely appreciate the service.,positive
"Overall, the update is hard to use.",negative
I cannot stand the workflow.,negative
This program saved a file without an error.,neutral
I absolutely prefer this feature.,positive
The system finished on my computer.,neutral
"Overall, this software is hard to use.",negative
I am impressed by the terminal interface.,positive
I hate the system.,negative
I do not like the workflow.,negative
"Overall, the service is hard to use.",negative
The interface started after the update.,neutral
The app is slow.,negative
The terminal interface closed without an error.,neutral
"I expected the update to be bad, but it is actually good.",positive
The design is hard to use.,negative
I don't dislike the service.,positive
I regret using the update.,negative
"Overall, the terminal interface is excellent.",positive
This feature opened without an error.,neutral
The design started after the update.,neutral
"This application was frustrating at first, but now I like it.",positive
I do not hate the terminal interface.,positive
"Overall, the workflow is great.",positive
The design saved a file yesterday.,neutral
The experience loaded yesterday.,neutral
The update is reliable.,positive
This feature started after lunch.,neutral
"Overall, the system is unpleasant.",negative
This application started for ten minutes.,neutral
I am annoyed by this program.,negative
The design finished for ten minutes.,neutral
I would not call this feature good.,negative
"Overall, the product is broken.",negative
"Overall, the terminal interface is bad.",negative
This software connected this morning.,neutral
"Overall, this program is worse than before.",negative
This program displayed a message after lunch.,neutral
"Overall, the app is excellent.",positive
This software is poorly designed.,negative
This feature closed at nine o clock.,neutral
The terminal interface is impressive.,positive
I used the experience today.,neutral
The app saved a file during the test.,neutral
I absolutely do not enjoy the app.,negative
The application opened at nine this morning.,neutral
I cannot stand this tool.,negative
"Overall, the app is great.",positive
I absolutely appreciate this tool.,positive
I absolutely am unhappy with the product.,negative
The design started at nine o clock.,neutral
"Overall, this application is worse than before.",negative
This feature is fast and clean.,positive
The app is well designed.,positive
The experience connected on my computer.,neutral
The product is well designed.,positive
The app is fast and clean.,positive
"Overall, the app is well designed.",positive
The experience is fast and clean.,positive
I opened the product and viewed the history page.,neutral
The documentation mentions the workflow.,neutral
This application closed this morning.,neutral
This tool is pleasant.,positive
I would not call this software good.,negative
The design is impressive.,positive
"Overall, the product is poorly designed.",negative
I don't enjoy the terminal interface.,negative
The experience started after the update.,neutral
"Overall, the service is annoying.",negative
I absolutely am unhappy with the service.,negative
The update is a mess.,negative
"The product looked promising, but now I hate it.",negative
The system is impressive.,positive
This software is not terrible.,positive
I absolutely really dislike the system.,negative
I am annoyed by the product.,negative
The changes fixed what was bothering me.,positive
I absolutely am unhappy with the workflow.,negative
"Overall, the service is slow.",negative
I don't enjoy the app.,negative
"Overall, this program is useful.",positive
The update finished yesterday.,neutral
I opened the design and viewed the history page.,neutral
"Overall, the experience is poorly designed.",negative
The workflow is impressive.,positive
The update saved a file at nine o clock.,neutral
I absolutely am pleased with the terminal interface.,positive
"Overall, the workflow is unpleasant.",negative
I am happy with this tool.,positive
I am disappointed with the product.,negative
I absolutely really dislike this application.,negative
The service displayed a message in the terminal.,neutral
This software loaded yesterday.,neutral
"Overall, the system is fantastic.",positive
I absolutely love this software.,positive
The experience started after lunch.,neutral
I prefer the service.,positive
The interface is worse than before.,negative
I would not recommend the workflow.,negative
I absolutely recommend the design.,positive
"Overall, the app is easy to use.",positive
"Overall, this software is terrible.",negative
I really dislike the system.,negative
This software finished on my computer.,neutral
This feature is slow.,negative
This is not what I wanted.,negative
The interface finished after lunch.,neutral
I absolutely really like the interface.,positive
The experience connected for ten minutes.,neutral
The workflow displayed a message for ten minutes.,neutral
"Honestly, I like this.",positive
This tool is fantastic.,positive
"Overall, this application is well designed.",positive
"Overall, this feature is hard to use.",negative
"Overall, the app is poorly designed.",negative
The interface is disappointing.,negative
The product is reliable.,positive
"Overall, this application is broken.",negative
The system opened at nine o clock.,neutral
I am unhappy with the app.,negative
This feature is frustrating.,negative
The system connected after lunch.,neutral
The terminal interface finished without an error.,neutral
The experience is great.,positive
The product is bad.,negative
This software connected after lunch.,neutral
The terminal interface is a big improvement.,positive
I do not enjoy the app.,negative
The product started at nine o clock.,neutral
"The experience has a few nice ideas, but overall it is frustrating.",negative
"The design has problems, but overall I am happy with it.",positive
This feature displayed a message without an error.,neutral
The system finished this morning.,neutral
This application started on my computer.,neutral
"Overall, the workflow is smooth.",positive
This software is annoying.,negative
The system is pleasant.,positive
"Overall, the experience is excellent.",positive
The interface closed yesterday.,neutral
The product ran this morning.,neutral
I prefer the system.,positive
The interface saved a file on my computer.,neutral
This sounds robotic and unnatural.,negative
I cannot stand the design.,negative
The file was saved to disk.,neutral
I absolutely am unhappy with the design.,negative
"Overall, the update is a big improvement.",positive
The interface displayed a message for ten minutes.,neutral
This software closed on my computer.,neutral
This software loaded for ten minutes.,neutral
The documentation mentions the design.,neutral
The update connected at nine o clock.,neutral
"The workflow has problems, but overall I am happy with it.",positive
I really dislike the design.,negative
"This tool has problems, but overall I am happy with it.",positive
The app is hard to use.,negative
I absolutely cannot stand this application.,negative
This feature displayed a message after lunch.,neutral
I opened this software and viewed the history page.,neutral
I absolutely love the product.,positive
This program opened for ten minutes.,neutral
The interface finished in the terminal.,neutral
I absolutely enjoy the design.,positive
The system started after lunch.,neutral
"Overall, the service is well designed.",positive
This application ran yesterday.,neutral
"Overall, this software is slow.",negative
I am frustrated by this tool.,negative
"I expected the app to be bad, but it is actually good.",positive
This program saved a file at nine o clock.,neutral
The product displayed a message on my computer.,neutral
This application is broken.,negative
I really dislike the workflow.,negative
This feature is helpful.,positive
"Overall, this software is great.",positive
"Overall, the product is great.",positive
The interface is unreliable.,negative
The app updated after the update.,neutral
I do not like the app.,negative
The workflow saved a file during the test.,neutral
This feature started after the update.,neutral
I appreciate the service.,positive
The terminal interface loaded in the terminal.,neutral
"Overall, this software is a big improvement.",positive
I absolutely would not recommend the design.,negative
I regret using the interface.,negative
"Overall, the service is smooth.",positive
"Overall, this feature is impressive.",positive
The terminal interface opened during the test.,neutral
"The interface has problems, but overall I am happy with it.",positive
This program is solid.,positive
"Overall, the experience is a mess.",negative
This software saved a file at nine o clock.,neutral
I do not enjoy the service.,negative
"The interface looked promising, but now I hate it.",negative
I enjoy this software.,positive
I absolutely am impressed by this feature.,positive
The product is not terrible.,positive
The experience loaded without an error.,neutral
